country,country_code,year,adoption_rate_pct
Austria,AT,2021,8.83
Austria,AT,2023,10.79
Austria,AT,2024,20.27
Austria,AT,2025,29.95
Belgium,BE,2021,10.32
Belgium,BE,2023,13.81
Belgium,BE,2024,24.71
Belgium,BE,2025,34.54
Bulgaria,BG,2021,3.29
Bulgaria,BG,2023,3.62
Bulgaria,BG,2024,6.47
Bulgaria,BG,2025,8.55
Croatia,HR,2021,8.74
Croatia,HR,2023,7.89
Croatia,HR,2024,11.76
Croatia,HR,2025,15.19
Cyprus,CY,2021,2.59
Cyprus,CY,2023,4.67
Cyprus,CY,2024,7.9
Cyprus,CY,2025,9.27
Czechia,CZ,2021,4.46
Czechia,CZ,2023,5.9
Czechia,CZ,2024,11.26
Czechia,CZ,2025,17.6
Denmark,DK,2021,23.89
Denmark,DK,2023,15.17
Denmark,DK,2024,27.58
Denmark,DK,2025,42.03
Estonia,EE,2021,2.77
Estonia,EE,2023,5.19
Estonia,EE,2024,13.89
Estonia,EE,2025,23.4
Finland,FI,2021,15.79
Finland,FI,2023,15.1
Finland,FI,2024,24.37
Finland,FI,2025,37.82
France,FR,2021,6.67
France,FR,2023,5.88
France,FR,2024,9.91
France,FR,2025,18.16
Germany,DE,2021,10.56
Germany,DE,2023,11.55
Germany,DE,2024,19.75
Germany,DE,2025,25.97
Greece,EL,2021,2.61
Greece,EL,2023,3.98
Greece,EL,2024,9.81
Greece,EL,2025,8.93
Hungary,HU,2021,2.98
Hungary,HU,2023,3.68
Hungary,HU,2024,7.41
Hungary,HU,2025,10.37
Ireland,IE,2021,7.88
Ireland,IE,2023,8.01
Ireland,IE,2024,14.9
Ireland,IE,2025,19.64
Italy,IT,2021,6.17
Italy,IT,2023,5.05
Italy,IT,2024,8.2
Italy,IT,2025,16.4
Latvia,LV,2021,3.72
Latvia,LV,2023,4.53
Latvia,LV,2024,8.83
Latvia,LV,2025,12.21
Lithuania,LT,2021,4.45
Lithuania,LT,2023,4.86
Lithuania,LT,2024,8.76
Lithuania,LT,2025,21.3
Luxembourg,LU,2021,13.0
Luxembourg,LU,2023,14.45
Luxembourg,LU,2024,23.73
Luxembourg,LU,2025,33.61
Malta,MT,2021,10.16
Malta,MT,2023,13.17
Malta,MT,2024,17.3
Malta,MT,2025,21.51
Netherlands,NL,2021,13.1
Netherlands,NL,2023,14.1
Netherlands,NL,2024,23.06
Netherlands,NL,2025,33.21
Poland,PL,2021,2.86
Poland,PL,2023,3.67
Poland,PL,2024,5.9
Poland,PL,2025,8.36
Portugal,PT,2021,7.2
Portugal,PT,2023,7.86
Portugal,PT,2024,8.63
Portugal,PT,2025,11.54
Romania,RO,2021,1.38
Romania,RO,2023,1.51
Romania,RO,2024,3.07
Romania,RO,2025,5.21
Slovakia,SK,2021,5.19
Slovakia,SK,2023,7.04
Slovakia,SK,2024,10.78
Slovakia,SK,2025,18.0
Slovenia,SI,2021,11.73
Slovenia,SI,2023,11.37
Slovenia,SI,2024,20.89
Slovenia,SI,2025,21.61
Spain,ES,2021,7.67
Spain,ES,2023,9.18
Spain,ES,2024,11.31
Spain,ES,2025,20.27
Sweden,SE,2021,9.92
Sweden,SE,2023,10.37
Sweden,SE,2024,25.09
Sweden,SE,2025,35.04
