country,country_code,year,cloud_adoption_pct
Austria,AT,2014,11.67
Austria,AT,2016,17.05
Austria,AT,2017,21.03
Austria,AT,2018,23.27
Austria,AT,2020,38.13
Austria,AT,2021,40.4
Austria,AT,2023,46.48
Austria,AT,2025,52.08
Belgium,BE,2014,21.24
Belgium,BE,2015,24.62
Belgium,BE,2016,28.46
Belgium,BE,2017,39.59
Belgium,BE,2018,40.25
Belgium,BE,2020,53.23
Belgium,BE,2021,52.96
Belgium,BE,2023,51.69
Belgium,BE,2025,61.62
Bulgaria,BG,2014,7.72
Bulgaria,BG,2015,5.36
Bulgaria,BG,2016,6.7
Bulgaria,BG,2017,8.01
Bulgaria,BG,2018,8.35
Bulgaria,BG,2020,10.85
Bulgaria,BG,2021,12.79
Bulgaria,BG,2023,17.5
Bulgaria,BG,2025,17.83
Croatia,HR,2014,22.2
Croatia,HR,2015,22.44
Croatia,HR,2016,22.61
Croatia,HR,2017,31.21
Croatia,HR,2018,30.71
Croatia,HR,2020,38.95
Croatia,HR,2021,39.15
Croatia,HR,2023,45.08
Croatia,HR,2024,42.0
Croatia,HR,2025,46.61
Cyprus,CY,2014,10.16
Cyprus,CY,2015,13.02
Cyprus,CY,2016,15.26
Cyprus,CY,2017,21.75
Cyprus,CY,2018,26.58
Cyprus,CY,2020,34.59
Cyprus,CY,2021,50.29
Cyprus,CY,2023,52.93
Cyprus,CY,2025,51.38
Czechia,CZ,2014,15.13
Czechia,CZ,2016,18.0
Czechia,CZ,2017,22.03
Czechia,CZ,2018,26.48
Czechia,CZ,2020,28.89
Czechia,CZ,2021,43.75
Czechia,CZ,2023,47.15
Czechia,CZ,2025,54.9
Denmark,DK,2014,37.67
Denmark,DK,2015,36.65
Denmark,DK,2016,41.6
Denmark,DK,2017,50.53
Denmark,DK,2018,55.62
Denmark,DK,2020,66.9
Denmark,DK,2021,64.82
Denmark,DK,2023,69.48
Denmark,DK,2025,68.88
Estonia,EE,2014,14.85
Estonia,EE,2016,22.84
Estonia,EE,2018,33.91
Estonia,EE,2020,56.32
Estonia,EE,2021,57.54
Estonia,EE,2023,58.57
Estonia,EE,2025,60.66
Finland,FI,2014,50.78
Finland,FI,2015,53.45
Finland,FI,2016,56.92
Finland,FI,2017,65.64
Finland,FI,2018,65.26
Finland,FI,2020,75.49
Finland,FI,2021,75.29
Finland,FI,2023,78.29
Finland,FI,2025,79.21
France,FR,2014,11.91
France,FR,2016,17.11
France,FR,2018,19.42
France,FR,2020,26.86
France,FR,2021,29.35
France,FR,2023,26.76
France,FR,2025,40.41
Germany,DE,2014,11.29
Germany,DE,2016,16.26
Germany,DE,2018,22.43
Germany,DE,2020,33.32
Germany,DE,2021,41.6
Germany,DE,2023,47.0
Germany,DE,2025,53.91
Greece,EL,2014,7.6
Greece,EL,2015,9.37
Greece,EL,2016,9.21
Greece,EL,2017,11.03
Greece,EL,2018,12.83
Greece,EL,2020,16.7
Greece,EL,2021,20.72
Greece,EL,2023,23.59
Greece,EL,2025,24.33
Hungary,HU,2014,8.08
Hungary,HU,2015,10.56
Hungary,HU,2016,12.19
Hungary,HU,2017,16.34
Hungary,HU,2018,18.01
Hungary,HU,2020,25.21
Hungary,HU,2021,26.41
Hungary,HU,2023,44.94
Hungary,HU,2024,48.34
Hungary,HU,2025,47.96
Ireland,IE,2014,27.6
Ireland,IE,2015,35.24
Ireland,IE,2016,36.08
Ireland,IE,2018,45.18
Ireland,IE,2020,50.9
Ireland,IE,2021,58.79
Ireland,IE,2023,63.1
Ireland,IE,2025,73.04
Italy,IT,2014,40.1
Italy,IT,2016,21.51
Italy,IT,2018,22.53
Italy,IT,2020,59.14
Italy,IT,2021,60.47
Italy,IT,2023,61.39
Italy,IT,2025,75.6
Latvia,LV,2014,5.69
Latvia,LV,2015,8.31
Latvia,LV,2016,8.37
Latvia,LV,2017,12.04
Latvia,LV,2018,14.53
Latvia,LV,2020,21.31
Latvia,LV,2021,28.55
Latvia,LV,2023,35.76
Latvia,LV,2025,44.08
Lithuania,LT,2014,13.47
Lithuania,LT,2015,16.24
Lithuania,LT,2016,16.64
Lithuania,LT,2017,23.17
Lithuania,LT,2018,22.56
Lithuania,LT,2020,30.77
Lithuania,LT,2021,33.58
Lithuania,LT,2023,38.39
Lithuania,LT,2025,58.06
Luxembourg,LU,2014,12.52
Luxembourg,LU,2016,18.83
Luxembourg,LU,2018,24.54
Luxembourg,LU,2020,29.09
Luxembourg,LU,2021,33.48
Luxembourg,LU,2023,37.04
Luxembourg,LU,2025,47.7
Malta,MT,2014,17.35
Malta,MT,2015,24.64
Malta,MT,2016,28.45
Malta,MT,2018,36.55
Malta,MT,2020,52.16
Malta,MT,2021,57.09
Malta,MT,2023,66.74
Malta,MT,2025,75.07
Netherlands,NL,2014,27.65
Netherlands,NL,2016,34.53
Netherlands,NL,2018,48.25
Netherlands,NL,2020,52.56
Netherlands,NL,2021,64.94
Netherlands,NL,2023,64.19
Netherlands,NL,2024,71.02
Netherlands,NL,2025,68.49
Poland,PL,2014,5.76
Poland,PL,2015,7.28
Poland,PL,2016,8.17
Poland,PL,2017,10.0
Poland,PL,2018,11.48
Poland,PL,2020,24.42
Poland,PL,2021,28.7
Poland,PL,2023,55.67
Poland,PL,2025,54.71
Portugal,PT,2014,12.56
Portugal,PT,2016,17.95
Portugal,PT,2017,22.6
Portugal,PT,2018,24.68
Portugal,PT,2020,29.0
Portugal,PT,2021,33.37
Portugal,PT,2023,37.5
Portugal,PT,2025,38.71
Romania,RO,2014,4.86
Romania,RO,2015,8.17
Romania,RO,2016,7.29
Romania,RO,2017,10.79
Romania,RO,2018,10.29
Romania,RO,2020,15.73
Romania,RO,2021,14.14
Romania,RO,2023,18.4
Romania,RO,2025,24.94
Slovakia,SK,2014,19.32
Slovakia,SK,2015,20.41
Slovakia,SK,2016,17.89
Slovakia,SK,2017,22.21
Slovakia,SK,2018,21.14
Slovakia,SK,2020,25.57
Slovakia,SK,2021,36.14
Slovakia,SK,2023,34.42
Slovakia,SK,2025,36.44
Slovenia,SI,2014,15.42
Slovenia,SI,2015,17.49
Slovenia,SI,2016,22.17
Slovenia,SI,2017,22.07
Slovenia,SI,2018,26.28
Slovenia,SI,2020,38.6
Slovenia,SI,2021,42.69
Slovenia,SI,2023,40.21
Slovenia,SI,2025,48.04
Spain,ES,2014,14.04
Spain,ES,2015,14.56
Spain,ES,2016,18.34
Spain,ES,2017,23.54
Spain,ES,2018,21.99
Spain,ES,2020,26.15
Spain,ES,2021,30.92
Spain,ES,2023,30.04
Spain,ES,2024,35.83
Spain,ES,2025,41.65
Sweden,SE,2014,39.44
Sweden,SE,2016,48.16
Sweden,SE,2018,57.21
Sweden,SE,2020,69.51
Sweden,SE,2021,75.39
Sweden,SE,2023,71.62
Sweden,SE,2025,72.0
