country,country_code,year,digital_skills_score
Austria,AT,2021,63.33
Austria,AT,2023,64.68
Austria,AT,2025,69.77
Belgium,BE,2021,54.23
Belgium,BE,2023,59.39
Belgium,BE,2025,61.22
Bulgaria,BG,2021,31.18
Bulgaria,BG,2023,35.52
Bulgaria,BG,2025,38.26
Croatia,HR,2021,63.37
Croatia,HR,2023,58.95
Croatia,HR,2025,63.38
Cyprus,CY,2021,50.21
Cyprus,CY,2023,49.46
Cyprus,CY,2025,55.75
Czechia,CZ,2021,59.69
Czechia,CZ,2023,69.11
Czechia,CZ,2025,70.45
Denmark,DK,2021,68.65
Denmark,DK,2023,69.62
Denmark,DK,2025,81.45
Estonia,EE,2021,56.37
Estonia,EE,2023,62.61
Estonia,EE,2025,62.52
Finland,FI,2021,79.18
Finland,FI,2023,81.99
Finland,FI,2025,80.98
France,FR,2021,61.96
France,FR,2023,59.67
France,FR,2025,65.74
Germany,DE,2021,48.92
Germany,DE,2023,52.22
Germany,DE,2025,59.55
Greece,EL,2021,52.48
Greece,EL,2023,52.4
Greece,EL,2025,50.96
Hungary,HU,2021,49.09
Hungary,HU,2023,58.89
Hungary,HU,2025,57.33
Ireland,IE,2021,70.49
Ireland,IE,2023,72.91
Ireland,IE,2025,82.82
Italy,IT,2021,45.6
Italy,IT,2023,45.75
Italy,IT,2025,54.27
Latvia,LV,2021,50.8
Latvia,LV,2023,45.34
Latvia,LV,2025,48.43
Lithuania,LT,2021,48.84
Lithuania,LT,2023,52.91
Lithuania,LT,2025,53.8
Luxembourg,LU,2021,63.79
Luxembourg,LU,2023,60.14
Luxembourg,LU,2025,62.4
Malta,MT,2021,61.23
Malta,MT,2023,63.02
Malta,MT,2025,60.84
Netherlands,NL,2021,78.94
Netherlands,NL,2023,82.7
Netherlands,NL,2025,83.61
Poland,PL,2021,42.93
Poland,PL,2023,44.3
Poland,PL,2025,50.42
Portugal,PT,2021,55.31
Portugal,PT,2023,55.97
Portugal,PT,2025,59.15
Romania,RO,2021,27.82
Romania,RO,2023,27.73
Romania,RO,2025,31.84
Slovakia,SK,2021,55.18
Slovakia,SK,2023,51.31
Slovakia,SK,2025,53.56
Slovenia,SI,2021,49.67
Slovenia,SI,2023,46.7
Slovenia,SI,2025,46.5
Spain,ES,2021,64.16
Spain,ES,2023,66.18
Spain,ES,2025,66.5
Sweden,SE,2021,66.6
Sweden,SE,2023,66.44
Sweden,SE,2025,69.99
